mode,detection,write_pref,side_host_attention,side_teardown_policy,side_evasion_rate,seed,epoch,reset,mean_infection,max_infection,cache_corruption,tier3_poisoning,promotion_accuracy,side_teardown,side_active,side_teardown_count,side_sweep_count,discovered_fraction,side_writes,sanctioned_writes,ungoverned_fraction,side_cache_corruption,side_entries,evader_fraction,population_attention,chosen_attention,substrate_gap,mean_side_value
deletion,0.05,0.7,,complete,0.0,42,33,False,0.002585703298817118,0.002591214904247651,0.0,0.6139240506329114,0.38967136150234744,False,True,14,0,1.0,0,44,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,34,False,0.0019392774741128387,0.0019434111781857382,0.0,0.6111111111111112,0.3891402714932127,False,True,14,0,1.0,30,12,0.7142857142857143,0.35,30,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,35,False,0.045204458105584634,0.0452075583836393,0.0,0.611764705882353,0.3930131004366812,True,False,15,0,1.0,28,8,0.7777777777777778,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,36,False,0.03390334357918847,0.03390566878772948,0.0,0.6184971098265896,0.38626609442060084,False,True,15,0,1.0,0,44,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,37,False,0.025427507684391355,0.02542925159079711,0.0,0.6201117318435754,0.38493723849372385,True,False,16,0,1.0,28,12,0.7,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,38,False,0.019070630763293517,0.019071938693097833,0.0,0.6174863387978142,0.38461538461538464,False,True,16,0,1.0,0,36,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,39,False,0.014302973072470138,0.014303954019823375,0.0,0.6178010471204188,0.383399209486166,False,True,16,0,1.0,28,13,0.6829268292682927,0.45,28,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,0,False,0.0,0.0,0.0,0.0,1.0,False,True,0,0,0.0,0,0,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,1,False,0.0,0.0,0.09090909090909091,0.09090909090909091,0.8518518518518519,False,True,0,0,0.0,0,50,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,2,False,0.022727272727272728,0.022727272727272728,0.29411764705882354,0.29411764705882354,0.7352941176470589,False,True,0,0,0.1,0,35,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,3,False,0.09057486631016043,0.09057486631016043,0.4,0.42857142857142855,0.6190476190476191,False,True,0,0,0.2,1,37,0.02631578947368421,0.0,1,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,4,False,0.16078829258976318,0.16793114973262033,0.35,0.48,0.574468085106383,False,True,0,0,0.5,1,36,0.02702702702702703,0.0,2,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,5,False,0.18934121944232235,0.21344836229946523,0.3,0.5333333333333333,0.509090909090909,False,True,0,0,0.5,16,18,0.47058823529411764,0.3333333333333333,18,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,6,False,0.21879162886745607,0.23508627172459895,0.25,0.53125,0.5172413793103449,False,True,0,0,0.5,10,32,0.23809523809523808,0.35,28,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,7,False,0.23195086450773492,0.2388147037934492,0.2,0.5227272727272727,0.5072463768115942,True,False,1,0,0.5,14,21,0.4,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,8,False,0.22396314838080117,0.2291110278450869,0.15,0.5319148936170213,0.47368421052631576,False,True,1,0,0.7,0,46,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,9,False,0.2054723612856009,0.20933327088381518,0.15,0.5416666666666666,0.46835443037974683,True,False,2,0,0.8,23,22,0.5111111111111111,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,10,False,0.19160427096420068,0.1944999531628614,0.1,0.54,0.4578313253012048,False,True,2,0,0.9,0,49,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,11,False,0.16870320322315052,0.17087496487214604,0.0,0.5454545454545454,0.4444444444444444,True,False,3,0,0.9,28,12,0.7,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,12,False,0.12652740241736288,0.12815622365410953,0.0,0.5245901639344263,0.4536082474226804,False,True,3,0,0.9,0,37,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,13,False,0.09489555181302216,0.09611716774058215,0.0,0.5384615384615384,0.42857142857142855,True,False,4,0,0.9,32,14,0.6956521739130435,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,14,False,0.07117166385976662,0.07208787580543662,0.0,0.5362318840579711,0.42857142857142855,False,True,4,0,0.9,0,38,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,15,False,0.05337874789482496,0.05406590685407746,0.0,0.5454545454545454,0.425,True,False,5,0,0.9,26,14,0.65,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,16,False,0.04003406092111872,0.04054943014055809,0.0,0.5679012345679012,0.4140625,False,True,5,0,1.0,0,38,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,17,False,0.03002554569083904,0.030412072605418568,0.0,0.5697674418604651,0.4117647058823529,False,True,5,0,1.0,26,15,0.6341463414634146,0.4,26,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,18,False,0.07251915926812928,0.07280905445406394,0.0,0.5824175824175825,0.3986013986013986,True,False,6,0,1.0,33,12,0.7333333333333333,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,19,False,0.054389369451096965,0.05460679084054795,0.0,0.6,0.3877551020408163,False,True,6,0,1.0,0,36,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,20,False,0.04079202708832273,0.040955093130410965,0.0,0.5918367346938775,0.3870967741935484,True,False,7,0,1.0,25,17,0.5952380952380952,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,21,False,0.03059402031624205,0.030716319847808225,0.0,0.5794392523364486,0.39520958083832336,False,True,7,0,1.0,0,35,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,43,22,False,0.02294551523718153,0.023037239885856167,0.0,0.5794392523364486,0.3953488372093023,True,False,8,0,1.0,27,19,0.5869565217391305,0.0,0,0.0,0.05,0.05,0.0,0.0
